('student_no::', 550, ':::company_alloted::', 157, ':::index in pref list:::', 26, ':::summing:::', 3158)
('student_no::', 69, ':::company_alloted::', 157, ':::index in pref list:::', 21, ':::summing:::', 3179)
('student_no::', 910, ':::company_alloted::', 157, ':::index in pref list:::', 26, ':::summing:::', 3205)
('student_no::', 242, ':::company_alloted::', 157, ':::index in pref list:::', 9, ':::summing:::', 3214)
('student_no::', 301, ':::company_alloted::', 157, ':::index in pref list:::', 34, ':::summing:::', 3248)
('student_no::', 633, ':::company_alloted::', 189, ':::index in pref list:::', 38, ':::summing:::', 3286)
('student_no::', 741, ':::company_alloted::', 189, ':::index in pref list:::', 28, ':::summing:::', 3314)
('student_no::', 0, ':::company_alloted::', 189, ':::index in pref list:::', 9, ':::summing:::', 3323)
('student_no::', 331, ':::company_alloted::', 189, ':::index in pref list:::', 27, ':::summing:::', 3350)
('student_no::', 598, ':::company_alloted::', 189, ':::index in pref list:::', 30, ':::summing:::', 3380)
('student_no::', 685, ':::company_alloted::', 29, ':::index in pref list:::', 33, ':::summing:::', 3413)
('student_no::', 838, ':::company_alloted::', 29, ':::index in pref list:::', 34, ':::summing:::', 3447)
('student_no::', 944, ':::company_alloted::', 29, ':::index in pref list:::', 20, ':::summing:::', 3467)
('student_no::', 898, ':::company_alloted::', 29, ':::index in pref list:::', 4, ':::summing:::', 3471)
('student_no::', 923, ':::company_alloted::', 29, ':::index in pref list:::', 11, ':::summing:::', 3482)
('student_no::', 676, ':::company_alloted::', 44, ':::index in pref list:::', 27, ':::summing:::', 3509)
('student_no::', 523, ':::company_alloted::', 44, ':::index in pref list:::', 33, ':::summing:::', 3542)
('student_no::', 722, ':::company_alloted::', 44, ':::index in pref list:::', 8, ':::summing:::', 3550)
('student_no::', 497, ':::company_alloted::', 44, ':::index in pref list:::', 0, ':::summing:::', 3550)
('student_no::', 852, ':::company_alloted::', 44, ':::index in pref list:::', 23, ':::summing:::', 3573)
('student_no::', 575, ':::company_alloted::', 83, ':::index in pref list:::', 6, ':::summing:::', 3579)
('student_no::', 564, ':::company_alloted::', 83, ':::index in pref list:::', 12, ':::summing:::', 3591)
('student_no::', 893, ':::company_alloted::', 83, ':::index in pref list:::', 0, ':::summing:::', 3591)
('student_no::', 222, ':::company_alloted::', 83, ':::index in pref list:::', 20, ':::summing:::', 3611)
('student_no::', 300, ':::company_alloted::', 83, ':::index in pref list:::', 32, ':::summing:::', 3643)
('student_no::', 228, ':::company_alloted::', 111, ':::index in pref list:::', 29, ':::summing:::', 3672)
('student_no::', 919, ':::company_alloted::', 111, ':::index in pref list:::', 15, ':::summing:::', 3687)
('student_no::', 641, ':::company_alloted::', 111, ':::index in pref list:::', 5, ':::summing:::', 3692)
('student_no::', 945, ':::company_alloted::', 111, ':::index in pref list:::', 2, ':::summing:::', 3694)
('student_no::', 418, ':::company_alloted::', 111, ':::index in pref list:::', 3, ':::summing:::', 3697)
('student_no::', 396, ':::company_alloted::', 164, ':::index in pref list:::', 27, ':::summing:::', 3724)
('student_no::', 107, ':::company_alloted::', 164, ':::index in pref list:::', 34, ':::summing:::', 3758)
('student_no::', 897, ':::company_alloted::', 164, ':::index in pref list:::', 39, ':::summing:::', 3797)
('student_no::', 1, ':::company_alloted::', 164, ':::index in pref list:::', 21, ':::summing:::', 3818)
('student_no::', 258, ':::company_alloted::', 164, ':::index in pref list:::', 21, ':::summing:::', 3839)
('student_no::', 29, ':::company_alloted::', 185, ':::index in pref list:::', 33, ':::summing:::', 3872)
('student_no::', 884, ':::company_alloted::', 185, ':::index in pref list:::', 39, ':::summing:::', 3911)
('student_no::', 778, ':::company_alloted::', 185, ':::index in pref list:::', 7, ':::summing:::', 3918)
('student_no::', 138, ':::company_alloted::', 185, ':::index in pref list:::', 22, ':::summing:::', 3940)
('student_no::', 210, ':::company_alloted::', 185, ':::index in pref list:::', 14, ':::summing:::', 3954)
('student_no::', 137, ':::company_alloted::', 4, ':::index in pref list:::', 27, ':::summing:::', 3981)
('student_no::', 317, ':::company_alloted::', 4, ':::index in pref list:::', 34, ':::summing:::', 4015)
('student_no::', 266, ':::company_alloted::', 4, ':::index in pref list:::', 22, ':::summing:::', 4037)
('student_no::', 32, ':::company_alloted::', 4, ':::index in pref list:::', 37, ':::summing:::', 4074)
('student_no::', 278, ':::company_alloted::', 4, ':::index in pref list:::', 35, ':::summing:::', 4109)
('student_no::', 372, ':::company_alloted::', 60, ':::index in pref list:::', 67, ':::summing:::', 4176)
('student_no::', 554, ':::company_alloted::', 60, ':::index in pref list:::', 72, ':::summing:::', 4248)
('student_no::', 623, ':::company_alloted::', 60, ':::index in pref list:::', 52, ':::summing:::', 4300)
('student_no::', 272, ':::company_alloted::', 60, ':::index in pref list:::', 49, ':::summing:::', 4349)
('student_no::', 844, ':::company_alloted::', 60, ':::index in pref list:::', 58, ':::summing:::', 4407)
('student_no::', 435, ':::company_alloted::', 147, ':::index in pref list:::', 63, ':::summing:::', 4470)
('student_no::', 656, ':::company_alloted::', 147, ':::index in pref list:::', 55, ':::summing:::', 4525)
('student_no::', 100, ':::company_alloted::', 147, ':::index in pref list:::', 63, ':::summing:::', 4588)
('student_no::', 874, ':::company_alloted::', 147, ':::index in pref list:::', 76, ':::summing:::', 4664)
('student_no::', 445, ':::company_alloted::', 147, ':::index in pref list:::', 72, ':::summing:::', 4736)
('student_no::', 618, ':::company_alloted::', 133, ':::index in pref list:::', 77, ':::summing:::', 4813)
('student_no::', 603, ':::company_alloted::', 133, ':::index in pref list:::', 65, ':::summing:::', 4878)
('student_no::', 560, ':::company_alloted::', 133, ':::index in pref list:::', 46, ':::summing:::', 4924)
('student_no::', 755, ':::company_alloted::', 133, ':::index in pref list:::', 76, ':::summing:::', 5000)
('student_no::', 864, ':::company_alloted::', 133, ':::index in pref list:::', 60, ':::summing:::', 5060)
('student_no::', 538, ':::company_alloted::', 175, ':::index in pref list:::', 75, ':::summing:::', 5135)
('student_no::', 436, ':::company_alloted::', 175, ':::index in pref list:::', 57, ':::summing:::', 5192)
('student_no::', 588, ':::company_alloted::', 175, ':::index in pref list:::', 49, ':::summing:::', 5241)
('student_no::', 2, ':::company_alloted::', 175, ':::index in pref list:::', 68, ':::summing:::', 5309)
('student_no::', 383, ':::company_alloted::', 175, ':::index in pref list:::', 68, ':::summing:::', 5377)
('student_no::', 754, ':::company_alloted::', 192, ':::index in pref list:::', 42, ':::summing:::', 5419)
('student_no::', 246, ':::company_alloted::', 192, ':::index in pref list:::', 59, ':::summing:::', 5478)
('student_no::', 7, ':::company_alloted::', 192, ':::index in pref list:::', 67, ':::summing:::', 5545)
('student_no::', 84, ':::company_alloted::', 192, ':::index in pref list:::', 58, ':::summing:::', 5603)
('student_no::', 991, ':::company_alloted::', 192, ':::index in pref list:::', 62, ':::summing:::', 5665)
('student_no::', 853, ':::company_alloted::', 38, ':::index in pref list:::', 47, ':::summing:::', 5712)
('student_no::', 730, ':::company_alloted::', 38, ':::index in pref list:::', 42, ':::summing:::', 5754)
('student_no::', 601, ':::company_alloted::', 38, ':::index in pref list:::', 66, ':::summing:::', 5820)
('student_no::', 399, ':::company_alloted::', 38, ':::index in pref list:::', 59, ':::summing:::', 5879)
('student_no::', 890, ':::company_alloted::', 38, ':::index in pref list:::', 52, ':::summing:::', 5931)
('student_no::', 904, ':::company_alloted::', 67, ':::index in pref list:::', 65, ':::summing:::', 5996)
('student_no::', 950, ':::company_alloted::', 67, ':::index in pref list:::', 63, ':::summing:::', 6059)
('student_no::', 879, ':::company_alloted::', 67, ':::index in pref list:::', 51, ':::summing:::', 6110)
('student_no::', 4, ':::company_alloted::', 67, ':::index in pref list:::', 63, ':::summing:::', 6173)
('student_no::', 391, ':::company_alloted::', 67, ':::index in pref list:::', 58, ':::summing:::', 6231)
('student_no::', 147, ':::company_alloted::', 152, ':::index in pref list:::', 68, ':::summing:::', 6299)
('student_no::', 464, ':::company_alloted::', 152, ':::index in pref list:::', 56, ':::summing:::', 6355)
('student_no::', 315, ':::company_alloted::', 152, ':::index in pref list:::', 54, ':::summing:::', 6409)
('student_no::', 34, ':::company_alloted::', 152, ':::index in pref list:::', 68, ':::summing:::', 6477)
('student_no::', 351, ':::company_alloted::', 152, ':::index in pref list:::', 66, ':::summing:::', 6543)
('student_no::', 775, ':::company_alloted::', 194, ':::index in pref list:::', 76, ':::summing:::', 6619)
