('student_no::', 637, ':::company_alloted::', 36, ':::index in pref list:::', 195, ':::summing:::', 7831)
('student_no::', 122, ':::company_alloted::', 36, ':::index in pref list:::', 2, ':::summing:::', 7833)
('student_no::', 689, ':::company_alloted::', 52, ':::index in pref list:::', 87, ':::summing:::', 7920)
('student_no::', 241, ':::company_alloted::', 52, ':::index in pref list:::', 0, ':::summing:::', 7920)
('student_no::', 109, ':::company_alloted::', 52, ':::index in pref list:::', 1, ':::summing:::', 7921)
('student_no::', 638, ':::company_alloted::', 52, ':::index in pref list:::', 11, ':::summing:::', 7932)
('student_no::', 418, ':::company_alloted::', 52, ':::index in pref list:::', 1, ':::summing:::', 7933)
('student_no::', 898, ':::company_alloted::', 104, ':::index in pref list:::', 98, ':::summing:::', 8031)
('student_no::', 71, ':::company_alloted::', 104, ':::index in pref list:::', 103, ':::summing:::', 8134)
('student_no::', 345, ':::company_alloted::', 104, ':::index in pref list:::', 137, ':::summing:::', 8271)
('student_no::', 735, ':::company_alloted::', 104, ':::index in pref list:::', 1, ':::summing:::', 8272)
('student_no::', 936, ':::company_alloted::', 104, ':::index in pref list:::', 45, ':::summing:::', 8317)
('student_no::', 67, ':::company_alloted::', 9, ':::index in pref list:::', 197, ':::summing:::', 8514)
('student_no::', 390, ':::company_alloted::', 9, ':::index in pref list:::', 90, ':::summing:::', 8604)
('student_no::', 332, ':::company_alloted::', 9, ':::index in pref list:::', 1, ':::summing:::', 8605)
('student_no::', 639, ':::company_alloted::', 9, ':::index in pref list:::', 5, ':::summing:::', 8610)
('student_no::', 341, ':::company_alloted::', 9, ':::index in pref list:::', 112, ':::summing:::', 8722)
('student_no::', 268, ':::company_alloted::', 19, ':::index in pref list:::', 188, ':::summing:::', 8910)
('student_no::', 510, ':::company_alloted::', 19, ':::index in pref list:::', 6, ':::summing:::', 8916)
('student_no::', 881, ':::company_alloted::', 19, ':::index in pref list:::', 7, ':::summing:::', 8923)
('student_no::', 539, ':::company_alloted::', 19, ':::index in pref list:::', 116, ':::summing:::', 9039)
('student_no::', 776, ':::company_alloted::', 19, ':::index in pref list:::', 3, ':::summing:::', 9042)
('student_no::', 441, ':::company_alloted::', 39, ':::index in pref list:::', 1, ':::summing:::', 9043)
('student_no::', 155, ':::company_alloted::', 39, ':::index in pref list:::', 2, ':::summing:::', 9045)
('student_no::', 872, ':::company_alloted::', 39, ':::index in pref list:::', 2, ':::summing:::', 9047)
('student_no::', 910, ':::company_alloted::', 39, ':::index in pref list:::', 107, ':::summing:::', 9154)
('student_no::', 998, ':::company_alloted::', 39, ':::index in pref list:::', 182, ':::summing:::', 9336)
('student_no::', 573, ':::company_alloted::', 51, ':::index in pref list:::', 1, ':::summing:::', 9337)
('student_no::', 676, ':::company_alloted::', 51, ':::index in pref list:::', 103, ':::summing:::', 9440)
('student_no::', 28, ':::company_alloted::', 51, ':::index in pref list:::', 0, ':::summing:::', 9440)
('student_no::', 222, ':::company_alloted::', 51, ':::index in pref list:::', 1, ':::summing:::', 9441)
('student_no::', 431, ':::company_alloted::', 51, ':::index in pref list:::', 48, ':::summing:::', 9489)
('student_no::', 499, ':::company_alloted::', 153, ':::index in pref list:::', 1, ':::summing:::', 9490)
('student_no::', 764, ':::company_alloted::', 153, ':::index in pref list:::', 3, ':::summing:::', 9493)
('student_no::', 151, ':::company_alloted::', 153, ':::index in pref list:::', 1, ':::summing:::', 9494)
('student_no::', 794, ':::company_alloted::', 153, ':::index in pref list:::', 162, ':::summing:::', 9656)
('student_no::', 817, ':::company_alloted::', 153, ':::index in pref list:::', 43, ':::summing:::', 9699)
('student_no::', 0, ':::company_alloted::', 145, ':::index in pref list:::', 163, ':::summing:::', 9862)
('student_no::', 153, ':::company_alloted::', 145, ':::index in pref list:::', 2, ':::summing:::', 9864)
('student_no::', 927, ':::company_alloted::', 145, ':::index in pref list:::', 179, ':::summing:::', 10043)
('student_no::', 233, ':::company_alloted::', 145, ':::index in pref list:::', 2, ':::summing:::', 10045)
('student_no::', 873, ':::company_alloted::', 145, ':::index in pref list:::', 0, ':::summing:::', 10045)
('student_no::', 731, ':::company_alloted::', 6, ':::index in pref list:::', 95, ':::summing:::', 10140)
('student_no::', 33, ':::company_alloted::', 6, ':::index in pref list:::', 1, ':::summing:::', 10141)
('student_no::', 661, ':::company_alloted::', 6, ':::index in pref list:::', 180, ':::summing:::', 10321)
('student_no::', 200, ':::company_alloted::', 6, ':::index in pref list:::', 0, ':::summing:::', 10321)
('student_no::', 854, ':::company_alloted::', 6, ':::index in pref list:::', 158, ':::summing:::', 10479)
('student_no::', 568, ':::company_alloted::', 84, ':::index in pref list:::', 1, ':::summing:::', 10480)
